address,path_station,path_dist_mi,hblr_station,hblr_dist_mi,transit_station,transit_dist_mi
1120 CLINTON ST,Hoboken,1.134,Port Imperial,0.396,Port Imperial,0.396
1120 HUDSON ST,Hoboken,1.015,Port Imperial,0.104,Port Imperial,0.104
1122 HUDSON ST,Hoboken,1.019,Port Imperial,0.102,Port Imperial,0.102
1122 WASHINGTON ST,Hoboken,1.048,Port Imperial,0.163,Port Imperial,0.163
1123 WASHINGTON ST,Hoboken,1.035,Port Imperial,0.135,Port Imperial,0.135
1125 MAXWELL LANE,Hoboken,0.949,Port Imperial,0.105,Port Imperial,0.105
1125 WASHINGTON ST,Hoboken,1.038,Port Imperial,0.133,Port Imperial,0.133
1127 WILLOW AVE,Hoboken,1.117,Port Imperial,0.332,Port Imperial,0.332
113 CLINTON ST,Hoboken,0.577,Pavonia/Newport,0.748,Hoboken,0.577
113 MADISON ST,Hoboken,0.778,Pavonia/Newport,0.836,Hoboken,0.778
113 WILLOW AVE,Hoboken,0.526,Pavonia/Newport,0.733,Hoboken,0.526
114 ADAMS ST,Hoboken,0.689,Pavonia/Newport,0.793,Hoboken,0.689
114 JACKSON ST,Hoboken,0.889,Pavonia/Newport,0.901,Hoboken,0.889
114 MONROE ST,Hoboken,0.84,Pavonia/Newport,0.872,Hoboken,0.84
114 WILLOW AVE,Hoboken,0.538,Pavonia/Newport,0.737,Hoboken,0.538
115 CLINTON ST,Hoboken,0.577,Pavonia/Newport,0.749,Hoboken,0.577
115 GARDEN ST,Hoboken,0.431,Pavonia/Newport,0.73,Hoboken,0.431
115 GRAND ST,Hoboken,0.628,Pavonia/Newport,0.768,Hoboken,0.628
115 WILLOW AVE,Hoboken,0.527,Pavonia/Newport,0.734,Hoboken,0.527
116 ADAMS ST,Hoboken,0.689,Pavonia/Newport,0.795,Hoboken,0.689
116 BLOOMFIELD ST,Hoboken,0.397,Pavonia/Newport,0.736,Hoboken,0.397
116 MADISON ST,Hoboken,0.789,Pavonia/Newport,0.845,Hoboken,0.789
116 WILLOW AVE,Hoboken,0.538,Pavonia/Newport,0.739,Hoboken,0.538
117 BLOOMFIELD ST,Hoboken,0.383,Pavonia/Newport,0.73,Hoboken,0.383
117 CLINTON ST,Hoboken,0.577,Pavonia/Newport,0.75,Hoboken,0.577
117 HARRISON ST,Hoboken,0.928,Pavonia/Newport,0.927,Pavonia/Newport,0.927
117 MADISON ST,Hoboken,0.778,Pavonia/Newport,0.838,Hoboken,0.778
118 BLOOMFIELD ST,Hoboken,0.398,Pavonia/Newport,0.741,Hoboken,0.398
118 CLINTON ST,Hoboken,0.592,Pavonia/Newport,0.761,Hoboken,0.592
118 JEFFERSON ST,Hoboken,0.744,Pavonia/Newport,0.845,Hoboken,0.744
118 MADISON ST,Hoboken,0.789,Pavonia/Newport,0.846,Hoboken,0.789
118 WASHINGTON ST,Hoboken,0.358,Pavonia/Newport,0.74,Hoboken,0.358
118 WILLOW AVE,Hoboken,0.538,Pavonia/Newport,0.74,Hoboken,0.538
119 CLINTON ST,Hoboken,0.577,Pavonia/Newport,0.752,Hoboken,0.577
119 MADISON ST,Hoboken,0.778,Pavonia/Newport,0.84,Hoboken,0.778
120 BLOOMFIELD ST,Hoboken,0.399,Pavonia/Newport,0.745,Hoboken,0.399
120 COURT ST,Hoboken,0.318,Pavonia/Newport,0.712,Hoboken,0.318
120 MADISON ST,Hoboken,0.789,Pavonia/Newport,0.847,Hoboken,0.789
120 WILLOW AVE,Hoboken,0.538,Pavonia/Newport,0.741,Hoboken,0.538
1200 GRAND ST,Hoboken,1.198,Port Imperial,0.443,Port Imperial,0.443
1201 ADAMS ST,Hoboken,1.22,Port Imperial,0.481,Port Imperial,0.481
1208 WASHINGTON ST,Hoboken,1.086,Port Imperial,0.148,Port Imperial,0.148
121 BLOOMFIELD ST,Hoboken,0.385,Pavonia/Newport,0.738,Hoboken,0.385
121 JACKSON ST,Hoboken,0.878,Pavonia/Newport,0.898,Hoboken,0.878
1210 PARK AVE,Hoboken,1.146,Port Imperial,0.295,Port Imperial,0.295
1212 WASHINGTON ST,Hoboken,1.103,Port Imperial,0.155,Port Imperial,0.155
1214 PARK AVE,Hoboken,1.154,Port Imperial,0.295,Port Imperial,0.295
1214 WASHINGTON ST,Hoboken,1.099,Port Imperial,0.149,Port Imperial,0.149
1216 BLOOMFIELD ST,Hoboken,1.119,Port Imperial,0.193,Port Imperial,0.193
1216 WASHINGTON ST,Hoboken,1.104,Port Imperial,0.15,Port Imperial,0.15
1218 WASHINGTON ST,Hoboken,1.119,Port Imperial,0.158,Port Imperial,0.158
122 MADISON ST,Hoboken,0.789,Pavonia/Newport,0.848,Hoboken,0.789
122 MONROE ST,Hoboken,0.84,Pavonia/Newport,0.877,Hoboken,0.84
1222 WASHINGTON ST,Hoboken,1.129,Port Imperial,0.161,Port Imperial,0.161
1226 PARK AVE,Hoboken,1.18,Port Imperial,0.299,Port Imperial,0.299
1228 PARK AVE,Hoboken,1.184,Port Imperial,0.3,Port Imperial,0.3
123 JACKSON ST,Hoboken,0.879,Pavonia/Newport,0.899,Hoboken,0.879
123 WASHINGTON ST,Hoboken,0.336,Pavonia/Newport,0.745,Hoboken,0.336
123 WILLOW AVE,Hoboken,0.527,Pavonia/Newport,0.74,Hoboken,0.527
124 JEFFERSON ST,Hoboken,0.745,Pavonia/Newport,0.858,Hoboken,0.745
124 MADISON ST,Hoboken,0.79,Pavonia/Newport,0.85,Hoboken,0.79
124 MONROE ST,Hoboken,0.84,Pavonia/Newport,0.878,Hoboken,0.84
125 GARDEN ST,Hoboken,0.435,Pavonia/Newport,0.748,Hoboken,0.435
125 WILLOW AVE,Hoboken,0.528,Pavonia/Newport,0.741,Hoboken,0.528
126 GARDEN ST,Hoboken,0.449,Pavonia/Newport,0.752,Hoboken,0.449
126 MADISON ST,Hoboken,0.79,Pavonia/Newport,0.851,Hoboken,0.79
126 MONROE ST,Hoboken,0.84,Pavonia/Newport,0.879,Hoboken,0.84
127 CLINTON ST,Hoboken,0.578,Pavonia/Newport,0.758,Hoboken,0.578
127 PARK AVE,Hoboken,0.48,Pavonia/Newport,0.732,Hoboken,0.48
127 WILLOW AVE,Hoboken,0.528,Pavonia/Newport,0.743,Hoboken,0.528
128 ADAMS ST,Hoboken,0.698,Pavonia/Newport,0.847,Hoboken,0.698
128 GARDEN ST,Hoboken,0.45,Pavonia/Newport,0.755,Hoboken,0.45
128 HARRISON ST,Hoboken,0.94,Pavonia/Newport,0.941,Hoboken,0.94
128 JACKSON ST,Hoboken,0.89,Pavonia/Newport,0.91,Hoboken,0.89
128 MADISON ST,Hoboken,0.79,Pavonia/Newport,0.852,Hoboken,0.79
128-130 JACKSON ST,Newport,0.802,Pavonia/Newport,0.764,Pavonia/Newport,0.764
129 CLINTON ST,Hoboken,0.578,Pavonia/Newport,0.759,Hoboken,0.578
129 HARRISON ST,Hoboken,0.929,Pavonia/Newport,0.934,Hoboken,0.929
129 WILLOW AVE,Hoboken,0.528,Pavonia/Newport,0.744,Hoboken,0.528
130 ADAMS ST,Hoboken,0.69,Pavonia/Newport,0.804,Hoboken,0.69
130 JEFFERSON ST,Hoboken,0.747,Pavonia/Newport,0.87,Hoboken,0.747
130 MADISON ST,Hoboken,0.79,Pavonia/Newport,0.853,Hoboken,0.79
130 PARK AVE,Hoboken,0.492,Pavonia/Newport,0.737,Hoboken,0.492
1300 GRAND ST,Hoboken,1.255,Port Imperial,0.447,Port Imperial,0.447
1300 HUDSON ST,Hoboken,1.139,Port Imperial,0.119,Port Imperial,0.119
1300 PARK AVE,Hoboken,1.208,Port Imperial,0.305,Port Imperial,0.305
1302 PARK AVE,Hoboken,1.211,Port Imperial,0.306,Port Imperial,0.306
131 GARDEN ST,Hoboken,0.438,Pavonia/Newport,0.76,Hoboken,0.438
131 MADISON ST,Hoboken,0.779,Pavonia/Newport,0.847,Hoboken,0.779
131 MONROE ST,Hoboken,0.833,Pavonia/Newport,0.914,Hoboken,0.833
1313 PARK AVE,Hoboken,1.22,Port Imperial,0.298,Port Imperial,0.298
1313 WILLOW AVE,Hoboken,1.229,Port Imperial,0.33,Port Imperial,0.33
1314 HUDSON ST,Hoboken,1.158,Port Imperial,0.133,Port Imperial,0.133
1315 WASHINGTON ST,Hoboken,1.171,Port Imperial,0.167,Port Imperial,0.167
1319 WASHINGTON ST,Hoboken,1.178,Port Imperial,0.171,Port Imperial,0.171
132 ADAMS ST,Hoboken,0.691,Pavonia/Newport,0.805,Hoboken,0.691
132 BLOOMFIELD ST,Hoboken,0.406,Pavonia/Newport,0.773,Hoboken,0.406
132 JACKSON ST,Hoboken,0.89,Pavonia/Newport,0.912,Hoboken,0.89
132 MONROE ST,Hoboken,0.848,Pavonia/Newport,0.927,Hoboken,0.848
1320 BLOOMFIELD ST,Hoboken,1.198,Port Imperial,0.22,Port Imperial,0.22
1325 ADAMS ST,Hoboken,1.259,Port Imperial,0.483,Port Imperial,0.483
133 GRAND ST,Hoboken,0.63,Pavonia/Newport,0.78,Hoboken,0.63
133 JACKSON ST,Hoboken,0.882,Pavonia/Newport,0.946,Hoboken,0.882
133 MADISON ST,Hoboken,0.785,Pavonia/Newport,0.893,Hoboken,0.785
133 MONROE ST,Hoboken,0.834,Pavonia/Newport,0.919,Hoboken,0.834
133 PARK AVE,Hoboken,0.481,Pavonia/Newport,0.736,Hoboken,0.481
1331 GRAND ST,Hoboken,1.234,Port Imperial,0.433,Port Imperial,0.433
135 GARDEN ST,Hoboken,0.44,Pavonia/Newport,0.767,Hoboken,0.44
135 PARK AVE,Hoboken,0.481,Pavonia/Newport,0.737,Hoboken,0.481
137 GARDEN ST,Hoboken,0.441,Pavonia/Newport,0.771,Hoboken,0.441
137 PARK AVE,Hoboken,0.481,Pavonia/Newport,0.739,Hoboken,0.481
138 GARDEN ST,Hoboken,0.454,Pavonia/Newport,0.773,Hoboken,0.454
138 PARK AVE,Hoboken,0.493,Pavonia/Newport,0.743,Hoboken,0.493
139 BLOOMFIELD ST,Hoboken,0.394,Pavonia/Newport,0.773,Hoboken,0.394
140 GARDEN ST,Hoboken,0.455,Pavonia/Newport,0.777,Hoboken,0.455
1400 HUDSON ST,Hoboken,1.153,Port Imperial,0.127,Port Imperial,0.127
1404 GRAND ST,Hoboken,1.334,Port Imperial,0.466,Port Imperial,0.466
1410 GRAND ST,Hoboken,1.338,Port Imperial,0.467,Port Imperial,0.467
1425 GARDEN ST,Hoboken,1.251,Port Imperial,0.276,Port Imperial,0.276
1425 HUDSON ST,Hoboken,1.154,Port Imperial,0.123,Port Imperial,0.123
1450 WASHINGTON ST,Hoboken,1.241,Port Imperial,0.224,Port Imperial,0.224
150 14TH ST,Hoboken,1.222,Port Imperial,0.223,Port Imperial,0.223
1500 GARDEN ST,Hoboken,1.279,Port Imperial,0.3,Port Imperial,0.3
1500 HUDSON ST,Hoboken,1.169,Port Imperial,0.14,Port Imperial,0.14
1500 WASHINGTON ST,Hoboken,0.34,Pavonia/Newport,0.604,Hoboken,0.34
151 2ND ST,Hoboken,0.408,Pavonia/Newport,0.775,Hoboken,0.408
152 2ND ST,Hoboken,0.418,Pavonia/Newport,0.79,Hoboken,0.418
152 6TH ST,Hoboken,0.614,Port Imperial,0.589,Port Imperial,0.589
155 14TH ST,Hoboken,1.219,Port Imperial,0.235,Port Imperial,0.235
157 14TH ST,Hoboken,1.219,Port Imperial,0.236,Port Imperial,0.236
157 7TH ST,Hoboken,0.679,Port Imperial,0.52,Port Imperial,0.52
158 NEWARK ST,Hoboken,0.403,Pavonia/Newport,0.666,Hoboken,0.403
159 14TH ST,Hoboken,1.219,Port Imperial,0.237,Port Imperial,0.237
159 NEWARK ST,Hoboken,0.395,Pavonia/Newport,0.645,Hoboken,0.395
160 2ND ST,Hoboken,0.435,Pavonia/Newport,0.792,Hoboken,0.435
161 5TH ST,Hoboken,0.541,Port Imperial,0.686,Hoboken,0.541
162 2ND ST,Hoboken,0.439,Pavonia/Newport,0.792,Hoboken,0.439
163 14TH ST,Hoboken,1.22,Port Imperial,0.24,Port Imperial,0.24
163-165 NEWARK ST,Hoboken,0.64,Pavonia/Newport,0.678,Hoboken,0.64
165 7TH ST,Hoboken,0.686,Port Imperial,0.525,Port Imperial,0.525
2 CONSTITUTION CT,Hoboken,1.13,Port Imperial,0.091,Port Imperial,0.091
2 PATERSON AVE,Newport,0.808,Pavonia/Newport,0.769,Pavonia/Newport,0.769
200 HUDSON ST,Hoboken,0.315,Pavonia/Newport,0.786,Hoboken,0.315
200 JACKSON ST,Hoboken,0.902,Pavonia/Newport,0.971,Hoboken,0.902
201 BLOOMFIELD ST,Hoboken,0.398,Pavonia/Newport,0.789,Hoboken,0.398
201 GARDEN ST,Hoboken,0.444,Pavonia/Newport,0.793,Hoboken,0.444
201 PARK AVE,Hoboken,0.495,Pavonia/Newport,0.801,Hoboken,0.495
201-203 14TH ST,Hoboken,1.183,Port Imperial,0.14,Port Imperial,0.14
202 PARK AVE,Hoboken,0.509,Pavonia/Newport,0.809,Hoboken,0.509
203 MADISON ST,Hoboken,0.788,Pavonia/Newport,0.907,Hoboken,0.788
203 WASHINGTON ST,Hoboken,0.352,Pavonia/Newport,0.792,Hoboken,0.352
204 GARDEN ST,Hoboken,0.462,Pavonia/Newport,0.803,Hoboken,0.462
204 JACKSON ST,Hoboken,0.898,Pavonia/Newport,0.968,Hoboken,0.898
204 WILLOW AVE,Hoboken,0.558,Pavonia/Newport,0.824,Hoboken,0.558
205 14TH ST,Hoboken,1.235,Port Imperial,0.279,Port Imperial,0.279
205 ADAMS ST,Hoboken,0.691,Pavonia/Newport,0.868,Hoboken,0.691
205 PARK AVE,Hoboken,0.495,Pavonia/Newport,0.81,Hoboken,0.495
206 ADAMS ST,Hoboken,0.704,Pavonia/Newport,0.873,Hoboken,0.704
206 JEFFERSON ST,Hoboken,0.753,Pavonia/Newport,0.899,Hoboken,0.753
206 WILLOW AVE,Hoboken,0.559,Pavonia/Newport,0.828,Hoboken,0.559
207 14TH ST,Hoboken,1.236,Port Imperial,0.28,Port Imperial,0.28
207 2ND ST,Hoboken,0.461,Pavonia/Newport,0.782,Hoboken,0.461
208 BLOOMFIELD ST,Hoboken,0.417,Pavonia/Newport,0.806,Hoboken,0.417
208 PARK AVE,Hoboken,0.512,Pavonia/Newport,0.821,Hoboken,0.512
208 WILLOW AVE,Hoboken,0.56,Pavonia/Newport,0.833,Hoboken,0.56
209 14TH ST,Hoboken,1.236,Port Imperial,0.281,Port Imperial,0.281
209 2ND ST,Hoboken,0.462,Pavonia/Newport,0.782,Hoboken,0.462
209 6TH ST,Hoboken,0.649,Port Imperial,0.625,Port Imperial,0.625
209 ADAMS ST,Hoboken,0.642,Pavonia/Newport,0.859,Hoboken,0.642
209 BLOOMFIELD ST,Hoboken,0.4,Pavonia/Newport,0.803,Hoboken,0.4
209 GARDEN ST,Hoboken,0.449,Pavonia/Newport,0.807,Hoboken,0.449
210 3RD ST,Hoboken,0.515,Port Imperial,0.842,Hoboken,0.515
210 ADAMS ST,Hoboken,0.658,Pavonia/Newport,0.867,Hoboken,0.658
210 BLOOMFIELD ST,Hoboken,0.418,Pavonia/Newport,0.811,Hoboken,0.418
210 JACKSON ST,Hoboken,0.899,Pavonia/Newport,0.972,Hoboken,0.899
211 14TH ST,Hoboken,1.236,Port Imperial,0.282,Port Imperial,0.282
211 3RD ST,Hoboken,0.508,Port Imperial,0.86,Hoboken,0.508
211 ADAMS ST,Hoboken,0.694,Pavonia/Newport,0.882,Hoboken,0.694
211 JEFFERSON ST,Hoboken,0.74,Pavonia/Newport,0.889,Hoboken,0.74
211 MADISON ST,Hoboken,0.789,Pavonia/Newport,0.912,Hoboken,0.789
212 JACKSON ST,Hoboken,0.899,Pavonia/Newport,0.973,Hoboken,0.899
212 MADISON ST,Hoboken,0.801,Pavonia/Newport,0.919,Hoboken,0.801
213 14TH ST,Hoboken,1.237,Port Imperial,0.283,Port Imperial,0.283
213 CLINTON ST,Hoboken,0.596,Pavonia/Newport,0.853,Hoboken,0.596
213 MONROE ST,Hoboken,0.842,Pavonia/Newport,0.957,Hoboken,0.842
214 JACKSON ST,Hoboken,0.899,Pavonia/Newport,0.974,Hoboken,0.899
214 JEFFERSON ST,Hoboken,0.757,Pavonia/Newport,0.915,Hoboken,0.757
