address,path_station,path_dist_mi,hblr_station,hblr_dist_mi,transit_station,transit_dist_mi
227 MONROE ST,Hoboken,0.841,Pavonia/Newport,0.948,Hoboken,0.841
228 BLOOMFIELD ST,Hoboken,0.441,Pavonia/Newport,0.851,Hoboken,0.441
228 MONROE ST,Hoboken,0.852,Pavonia/Newport,0.955,Hoboken,0.852
229 WILLOW AVE,Hoboken,0.561,Pavonia/Newport,0.874,Hoboken,0.561
230 BLOOMFIELD ST,Hoboken,0.441,Port Imperial,0.847,Hoboken,0.441
230 MONROE ST,Hoboken,0.853,Pavonia/Newport,0.957,Hoboken,0.853
230 PARK AVE,Hoboken,0.527,Pavonia/Newport,0.863,Hoboken,0.527
231 GRAND ST,Hoboken,0.646,Pavonia/Newport,0.863,Hoboken,0.646
231 MADISON ST,Hoboken,0.792,Pavonia/Newport,0.925,Hoboken,0.792
231 PARK AVE,Hoboken,0.514,Pavonia/Newport,0.864,Hoboken,0.514
232 BLOOMFIELD ST,Hoboken,0.444,Port Imperial,0.841,Hoboken,0.444
232 MONROE ST,Hoboken,0.864,Pavonia/Newport,1.001,Hoboken,0.864
232 PARK AVE,Hoboken,0.529,Pavonia/Newport,0.867,Hoboken,0.529
233 GRAND ST,Hoboken,0.658,Pavonia/Newport,0.911,Hoboken,0.658
233 MONROE ST,Hoboken,0.803,Pavonia/Newport,0.97,Hoboken,0.803
233 WASHINGTON ST,Hoboken,0.381,Port Imperial,0.832,Hoboken,0.381
233 WILLOW AVE,Hoboken,0.564,Port Imperial,0.879,Hoboken,0.564
235 MONROE ST,Hoboken,0.842,Pavonia/Newport,0.953,Hoboken,0.842
235 PARK AVE,Hoboken,0.518,Port Imperial,0.862,Hoboken,0.518
252-256 1ST ST,Hoboken,0.202,Pavonia/Newport,0.702,Hoboken,0.202
253 10TH ST,Hoboken,0.958,Port Imperial,0.36,Port Imperial,0.36
257 12TH ST,Hoboken,1.115,Port Imperial,0.302,Port Imperial,0.302
258 9TH ST,Hoboken,0.892,Port Imperial,0.413,Port Imperial,0.413
259 12TH ST,Hoboken,1.116,Port Imperial,0.304,Port Imperial,0.304
261 12TH ST,Hoboken,1.116,Port Imperial,0.305,Port Imperial,0.305
261 1ST ST,Hoboken,0.514,Pavonia/Newport,0.706,Hoboken,0.514
262 1ST ST,Hoboken,0.5,Pavonia/Newport,0.715,Hoboken,0.5
264 5TH ST,Hoboken,0.628,Port Imperial,0.713,Hoboken,0.628
264 7TH ST,Hoboken,0.762,Port Imperial,0.564,Port Imperial,0.564
300 1ST ST,Hoboken,0.545,Pavonia/Newport,0.715,Hoboken,0.545
300 HUDSON ST,Hoboken,0.364,Port Imperial,0.804,Hoboken,0.364
300 NEWARK ST,Hoboken,0.556,Pavonia/Newport,0.695,Hoboken,0.556
300 PARK AVE,Hoboken,0.544,Port Imperial,0.854,Hoboken,0.544
301 1ST ST,Hoboken,0.54,Pavonia/Newport,0.712,Hoboken,0.54
301 MONROE ST,Hoboken,0.855,Pavonia/Newport,1.008,Hoboken,0.855
302 1ST ST,Hoboken,0.542,Pavonia/Newport,0.726,Hoboken,0.542
302 MONROE ST,Hoboken,0.868,Pavonia/Newport,1.015,Hoboken,0.868
303 MONROE ST,Hoboken,0.857,Pavonia/Newport,1.01,Hoboken,0.857
304 HUDSON ST,Hoboken,0.364,Port Imperial,0.801,Hoboken,0.364
306 BLOOMFIELD ST,Hoboken,0.459,Port Imperial,0.804,Hoboken,0.459
306 PARK AVE,Hoboken,0.548,Port Imperial,0.842,Hoboken,0.548
307 1ST ST,Hoboken,0.544,Pavonia/Newport,0.716,Hoboken,0.544
308 9TH ST,Hoboken,0.919,Port Imperial,0.449,Port Imperial,0.449
308 GARDEN ST,Hoboken,0.5,Port Imperial,0.822,Hoboken,0.5
308 MONROE ST,Hoboken,0.869,Pavonia/Newport,1.019,Hoboken,0.869
309 1ST ST,Hoboken,0.561,Pavonia/Newport,0.72,Hoboken,0.561
309 2ND ST,Hoboken,0.729,Pavonia/Newport,0.865,Hoboken,0.729
309 MONROE ST,Hoboken,0.858,Pavonia/Newport,1.014,Hoboken,0.858
310 HUDSON ST,Hoboken,0.367,Port Imperial,0.797,Hoboken,0.367
311 COURT ST,Hoboken,0.381,Port Imperial,0.799,Hoboken,0.381
311 MONROE ST,Hoboken,0.859,Port Imperial,1.013,Hoboken,0.859
312 10TH ST,Hoboken,0.996,Port Imperial,0.399,Port Imperial,0.399
312 MADISON ST,Hoboken,0.822,Port Imperial,0.988,Hoboken,0.822
313 GRAND ST,Hoboken,0.673,Port Imperial,0.882,Hoboken,0.673
313 MONROE ST,Hoboken,0.859,Port Imperial,1.012,Hoboken,0.859
314 HUDSON ST,Hoboken,0.368,Port Imperial,0.794,Hoboken,0.368
315 GRAND ST,Hoboken,0.675,Port Imperial,0.877,Hoboken,0.675
315 MONROE ST,Hoboken,0.859,Port Imperial,1.011,Hoboken,0.859
316 HUDSON ST,Hoboken,0.369,Port Imperial,0.792,Hoboken,0.369
316 PARK AVE,Hoboken,0.554,Port Imperial,0.827,Hoboken,0.554
316-318 GARDEN ST,Hoboken,0.454,Pavonia/Newport,0.799,Hoboken,0.454
318 HUDSON ST,Hoboken,0.37,Port Imperial,0.791,Hoboken,0.37
318 MADISON ST,Hoboken,0.823,Port Imperial,0.985,Hoboken,0.823
318 PARK AVE,Hoboken,0.557,Port Imperial,0.823,Hoboken,0.557
319 GRAND ST,Hoboken,0.679,Port Imperial,0.869,Hoboken,0.679
319 MONROE ST,Hoboken,0.86,Port Imperial,1.008,Hoboken,0.86
319 PARK AVE,Hoboken,0.541,Port Imperial,0.814,Hoboken,0.541
320 BLOOMFIELD ST,Hoboken,0.472,Port Imperial,0.781,Hoboken,0.472
320 MADISON ST,Hoboken,0.824,Port Imperial,0.983,Hoboken,0.824
321 ADAMS ST,Hoboken,0.728,Port Imperial,0.893,Hoboken,0.728
321 MONROE ST,Hoboken,0.861,Port Imperial,1.007,Hoboken,0.861
322 GRAND ST,Hoboken,0.698,Port Imperial,0.869,Hoboken,0.698
322 HUDSON ST,Hoboken,0.372,Port Imperial,0.788,Hoboken,0.372
322 MADISON ST,Hoboken,0.824,Port Imperial,0.982,Hoboken,0.824
323 JACKSON ST,Hoboken,0.908,Port Imperial,1.037,Hoboken,0.908
324 HUDSON ST,Hoboken,0.373,Port Imperial,0.786,Hoboken,0.373
325 ADAMS ST,Hoboken,0.732,Port Imperial,0.886,Hoboken,0.732
325 WILLOW AVE,Hoboken,0.596,Port Imperial,0.81,Hoboken,0.596
326 GRAND ST,Hoboken,0.702,Port Imperial,0.861,Hoboken,0.702
326 MONROE ST,Hoboken,0.873,Port Imperial,1.011,Hoboken,0.873
327 MONROE ST,Hoboken,0.862,Port Imperial,1.004,Hoboken,0.862
328 GARDEN ST,Hoboken,0.518,Port Imperial,0.789,Hoboken,0.518
328 MADISON ST,Hoboken,0.825,Port Imperial,0.979,Hoboken,0.825
329 ADAMS ST,Hoboken,0.735,Port Imperial,0.878,Hoboken,0.735
329 WILLOW AVE,Hoboken,0.601,Port Imperial,0.801,Hoboken,0.601
330 MONROE ST,Hoboken,0.874,Port Imperial,1.008,Hoboken,0.874
331 ADAMS ST,Hoboken,0.737,Port Imperial,0.874,Hoboken,0.737
331 GRAND ST,Hoboken,0.691,Port Imperial,0.844,Hoboken,0.691
331 JEFFERSON ST,Hoboken,0.784,Port Imperial,0.899,Hoboken,0.784
332 MADISON ST,Hoboken,0.845,Port Imperial,0.937,Hoboken,0.845
332 MONROE ST,Hoboken,0.892,Port Imperial,0.969,Hoboken,0.892
333 ADAMS ST,Hoboken,0.739,Port Imperial,0.87,Hoboken,0.739
333 GARDEN ST,Hoboken,0.493,Port Imperial,0.809,Hoboken,0.493
333 MONROE ST,Hoboken,0.879,Port Imperial,0.959,Hoboken,0.879
336 BLOOMFIELD ST,Hoboken,0.488,Port Imperial,0.755,Hoboken,0.488
336 PARK AVE,Hoboken,0.574,Port Imperial,0.788,Hoboken,0.574
337 PARK AVE,Hoboken,0.559,Port Imperial,0.783,Hoboken,0.559
338 BLOOMFIELD ST,Hoboken,0.49,Port Imperial,0.752,Hoboken,0.49
341 GARDEN ST,Hoboken,0.496,Port Imperial,0.804,Hoboken,0.496
350 7TH ST,Hoboken,0.817,Port Imperial,0.611,Port Imperial,0.611
354 1ST ST,Hoboken,0.6,Pavonia/Newport,0.747,Hoboken,0.6
356 1ST ST,Hoboken,0.605,Pavonia/Newport,0.748,Hoboken,0.605
358 14TH ST,Hoboken,1.316,Port Imperial,0.438,Port Imperial,0.438
358 3RD ST,Hoboken,0.652,Port Imperial,0.902,Hoboken,0.652
358 6TH ST,Hoboken,0.758,Port Imperial,0.685,Port Imperial,0.685
360 1ST ST,Hoboken,0.615,Pavonia/Newport,0.752,Hoboken,0.615
367 1ST ST,Hoboken,0.62,Pavonia/Newport,0.742,Hoboken,0.62
369 1ST ST,Hoboken,0.624,Pavonia/Newport,0.743,Hoboken,0.624
38 JACKSON ST,Newport,0.815,Pavonia/Newport,0.778,Pavonia/Newport,0.778
380 NEWARK ST,Hoboken,0.62,Pavonia/Newport,0.691,Hoboken,0.62
400 9TH ST,Hoboken,0.978,Port Imperial,0.527,Port Imperial,0.527
400 MADISON ST,Hoboken,0.851,Port Imperial,0.927,Hoboken,0.851
401 JEFFERSON ST,Hoboken,0.788,Port Imperial,0.885,Hoboken,0.788
401 MONROE ST,Hoboken,0.883,Port Imperial,0.949,Hoboken,0.883
402 9TH ST,Hoboken,0.98,Port Imperial,0.529,Port Imperial,0.529
402 ADAMS ST,Hoboken,0.757,Port Imperial,0.863,Hoboken,0.757
402 GRAND ST,Hoboken,0.711,Port Imperial,0.836,Hoboken,0.711
402 JEFFERSON ST,Hoboken,0.802,Port Imperial,0.893,Hoboken,0.802
402 MADISON ST,Hoboken,0.849,Port Imperial,0.924,Hoboken,0.849
402 MONROE ST,Hoboken,0.896,Port Imperial,0.956,Hoboken,0.896
403 ADAMS ST,Hoboken,0.746,Port Imperial,0.857,Hoboken,0.746
403 MONROE ST,Hoboken,0.881,Port Imperial,0.943,Hoboken,0.881
405 BLOOMFIELD ST,Hoboken,0.492,Port Imperial,0.73,Hoboken,0.492
405 JEFFERSON ST,Hoboken,0.792,Port Imperial,0.885,Hoboken,0.792
406 4TH ST,Hoboken,0.734,Port Imperial,0.849,Hoboken,0.734
406 GRAND ST,Hoboken,0.712,Port Imperial,0.834,Hoboken,0.712
406 MADISON ST,Hoboken,0.85,Port Imperial,0.923,Hoboken,0.85
407 MONROE ST,Hoboken,0.886,Port Imperial,0.932,Hoboken,0.886
407 WASHINGTON ST,Hoboken,0.463,Port Imperial,0.706,Hoboken,0.463
408 ADAMS ST,Hoboken,0.758,Port Imperial,0.861,Hoboken,0.758
409 4TH ST,Hoboken,0.727,Port Imperial,0.864,Hoboken,0.727
409 ADAMS ST,Hoboken,0.748,Port Imperial,0.854,Hoboken,0.748
409 WASHINGTON ST,Hoboken,0.466,Port Imperial,0.702,Hoboken,0.466
41 1ST ST,Hoboken,0.269,Pavonia/Newport,0.685,Hoboken,0.269
410 ADAMS ST,Hoboken,0.758,Port Imperial,0.86,Hoboken,0.758
410 JEFFERSON ST,Hoboken,0.804,Port Imperial,0.889,Hoboken,0.804
410 MADISON ST,Hoboken,0.85,Port Imperial,0.921,Hoboken,0.85
411 JEFFERSON ST,Hoboken,0.793,Port Imperial,0.882,Hoboken,0.793
411 MONROE ST,Hoboken,0.889,Port Imperial,0.927,Hoboken,0.889
411 WASHINGTON ST,Hoboken,0.47,Port Imperial,0.697,Hoboken,0.47
412 MONROE ST,Hoboken,0.897,Port Imperial,0.952,Hoboken,0.897
412 WASHINGTON ST,Hoboken,0.498,Port Imperial,0.697,Hoboken,0.498
413 1ST ST,Hoboken,0.672,Pavonia/Newport,0.763,Hoboken,0.672
413 JEFFERSON ST,Hoboken,0.794,Port Imperial,0.882,Hoboken,0.794
413 MADISON ST,Hoboken,0.84,Port Imperial,0.913,Hoboken,0.84
413 MONROE ST,Hoboken,0.891,Port Imperial,0.924,Hoboken,0.891
414 JEFFERSON ST,Hoboken,0.804,Port Imperial,0.888,Hoboken,0.804
414 MADISON ST,Hoboken,0.851,Port Imperial,0.92,Hoboken,0.851
415 ADAMS ST,Hoboken,0.749,Port Imperial,0.852,Hoboken,0.749
415 MADISON ST,Hoboken,0.841,Port Imperial,0.912,Hoboken,0.841
415 MONROE ST,Hoboken,0.893,Port Imperial,0.918,Hoboken,0.893
415 NEWARK ST,Hoboken,0.673,Pavonia/Newport,0.674,Hoboken,0.673
415 WASHINGTON ST,Hoboken,0.473,Port Imperial,0.687,Hoboken,0.473
416 GRAND ST,Hoboken,0.715,Port Imperial,0.83,Hoboken,0.715
416 MONROE ST,Hoboken,0.898,Port Imperial,0.95,Hoboken,0.898
417 ADAMS ST,Hoboken,0.749,Port Imperial,0.851,Hoboken,0.749
418 BLOOMFIELD ST,Hoboken,0.505,Port Imperial,0.726,Hoboken,0.505
418 MONROE ST,Hoboken,0.911,Port Imperial,0.934,Hoboken,0.911
419 ADAMS ST,Hoboken,0.75,Port Imperial,0.85,Hoboken,0.75
419 BLOOMFIELD ST,Hoboken,0.496,Port Imperial,0.723,Hoboken,0.496
420 JEFFERSON ST,Hoboken,0.806,Port Imperial,0.885,Hoboken,0.806
420 MADISON ST,Hoboken,0.852,Port Imperial,0.917,Hoboken,0.852
420 MONROE ST,Hoboken,0.899,Port Imperial,0.949,Hoboken,0.899
421 MADISON ST,Hoboken,0.842,Port Imperial,0.91,Hoboken,0.842
422 BLOOMFIELD ST,Hoboken,0.506,Port Imperial,0.724,Hoboken,0.506
422 GRAND ST,Hoboken,0.716,Port Imperial,0.827,Hoboken,0.716
422 MADISON ST,Hoboken,0.853,Port Imperial,0.916,Hoboken,0.853
423 ADAMS ST,Hoboken,0.751,Port Imperial,0.849,Hoboken,0.751
423 JEFFERSON ST,Hoboken,0.796,Port Imperial,0.878,Hoboken,0.796
450 1ST ST,Hoboken,0.726,Pavonia/Newport,0.789,Hoboken,0.726
450 7TH ST,Hoboken,0.901,Port Imperial,0.686,Port Imperial,0.686
452 1ST ST,Hoboken,0.703,Pavonia/Newport,0.788,Hoboken,0.703
452 2ND ST,Hoboken,0.703,Pavonia/Newport,0.865,Hoboken,0.703
456 9TH ST,Hoboken,1.02,Port Imperial,0.582,Port Imperial,0.582
457 2ND ST,Hoboken,0.721,Pavonia/Newport,0.861,Hoboken,0.721
461 4TH ST,Hoboken,0.771,Port Imperial,0.891,Hoboken,0.771
462 NEWARK ST,Hoboken,0.707,Pavonia/Newport,0.689,Pavonia/Newport,0.689
463 1ST ST,Hoboken,0.716,Pavonia/Newport,0.78,Hoboken,0.716
464 NEWARK ST,Hoboken,0.708,Pavonia/Newport,0.689,Pavonia/Newport,0.689
500 HUDSON ST,Hoboken,0.483,Port Imperial,0.651,Hoboken,0.483
501 9TH ST,Hoboken,1.08,Port Imperial,0.662,Port Imperial,0.662
501 ADAMS ST,Hoboken,0.777,Port Imperial,0.803,Hoboken,0.777
501 COURT ST,Hoboken,0.488,Port Imperial,0.651,Hoboken,0.488
501 MONROE ST,Hoboken,0.91,Port Imperial,0.901,Port Imperial,0.901
502 JEFFERSON ST,Hoboken,0.832,Port Imperial,0.839,Hoboken,0.832
502 MADISON ST,Hoboken,0.876,Port Imperial,0.874,Port Imperial,0.874
502 MONROE ST,Hoboken,0.921,Port Imperial,0.908,Port Imperial,0.908
502 OBSERVER HIGHWAY,Newport,0.742,Pavonia/Newport,0.702,Pavonia/Newport,0.702
503 BLOOMFIELD ST,Hoboken,0.538,Port Imperial,0.665,Hoboken,0.538
503 MONROE ST,Hoboken,0.91,Port Imperial,0.9,Port Imperial,0.9
504 1ST ST,Hoboken,0.744,Pavonia/Newport,0.809,Hoboken,0.744
504 2ND ST,Hoboken,0.767,Pavonia/Newport,0.894,Hoboken,0.767
504 4TH ST,Hoboken,0.814,Port Imperial,0.902,Hoboken,0.814
504 GRAND ST,Hoboken,0.747,Port Imperial,0.775,Hoboken,0.747
505 MONROE ST,Hoboken,0.911,Port Imperial,0.899,Port Imperial,0.899
506 GARDEN ST,Hoboken,0.589,Port Imperial,0.676,Hoboken,0.589
507 GARDEN ST,Hoboken,0.583,Port Imperial,0.667,Hoboken,0.583
507 MADISON ST,Hoboken,0.871,Port Imperial,0.858,Port Imperial,0.858
507 PARK AVE,Hoboken,0.618,Port Imperial,0.691,Hoboken,0.618
508 1ST ST,Hoboken,0.747,Pavonia/Newport,0.81,Hoboken,0.747
508 GARDEN ST,Hoboken,0.592,Port Imperial,0.672,Hoboken,0.592
508 GRAND ST,Hoboken,0.751,Port Imperial,0.768,Hoboken,0.751
509 2ND ST,Hoboken,0.768,Pavonia/Newport,0.883,Hoboken,0.768
509 BLOOMFIELD ST,Hoboken,0.547,Port Imperial,0.653,Hoboken,0.547
509 GARDEN ST,Hoboken,0.585,Port Imperial,0.663,Hoboken,0.585
509 JEFFERSON ST,Hoboken,0.829,Port Imperial,0.819,Port Imperial,0.819
509 MADISON ST,Hoboken,0.873,Port Imperial,0.854,Port Imperial,0.854
509 MONROE ST,Hoboken,0.912,Port Imperial,0.897,Port Imperial,0.897
509 WILLOW AVE,Hoboken,0.659,Port Imperial,0.704,Hoboken,0.659
51-53 14TH ST,Hoboken,1.183,Port Imperial,0.14,Port Imperial,0.14
510 MONROE ST,Hoboken,0.923,Port Imperial,0.904,Port Imperial,0.904
510 PARK AVE,Hoboken,0.734,Port Imperial,0.56,Port Imperial,0.56
511 MADISON ST,Hoboken,0.875,Port Imperial,0.851,Port Imperial,0.851
512 1ST ST,Hoboken,0.749,Pavonia/Newport,0.811,Hoboken,0.749
512 JEFFERSON ST,Hoboken,0.843,Port Imperial,0.822,Port Imperial,0.822
512 MADISON ST,Hoboken,0.88,Port Imperial,0.868,Port Imperial,0.868
513 MONROE ST,Hoboken,0.914,Port Imperial,0.894,Port Imperial,0.894
514 1ST ST,Hoboken,0.775,Pavonia/Newport,0.83,Hoboken,0.775
514 ADAMS ST,Hoboken,0.801,Port Imperial,0.787,Port Imperial,0.787
515 MONROE ST,Hoboken,0.914,Port Imperial,0.893,Port Imperial,0.893
515 WILLOW AVE,Hoboken,0.657,Port Imperial,0.713,Hoboken,0.657
516 ADAMS ST,Hoboken,0.803,Port Imperial,0.783,Port Imperial,0.783
516 GRAND ST,Hoboken,0.76,Port Imperial,0.755,Port Imperial,0.755
516 JEFFERSON ST,Hoboken,0.848,Port Imperial,0.815,Port Imperial,0.815
517 ADAMS ST,Hoboken,0.795,Port Imperial,0.774,Port Imperial,0.774
517 JACKSON ST,Hoboken,0.961,Port Imperial,0.929,Port Imperial,0.929
518 GRAND ST,Hoboken,0.763,Port Imperial,0.751,Port Imperial,0.751
518 MONROE ST,Hoboken,0.926,Port Imperial,0.899,Port Imperial,0.899
518 PARK AVE,Hoboken,0.734,Port Imperial,0.56,Port Imperial,0.56
519 ADAMS ST,Hoboken,0.798,Port Imperial,0.77,Port Imperial,0.77
519 JEFFERSON ST,Hoboken,0.841,Port Imperial,0.8,Port Imperial,0.8
519 MONROE ST,Hoboken,0.916,Port Imperial,0.891,Port Imperial,0.891
519 WILLOW AVE,Hoboken,0.671,Port Imperial,0.684,Hoboken,0.671
520 PARK AVE,Hoboken,0.734,Port Imperial,0.56,Port Imperial,0.56
521 ADAMS ST,Hoboken,0.8,Port Imperial,0.767,Port Imperial,0.767
522 HUDSON ST,Hoboken,0.522,Port Imperial,0.601,Hoboken,0.522
522 JEFFERSON ST,Hoboken,0.855,Port Imperial,0.804,Port Imperial,0.804
523 JEFFERSON ST,Hoboken,0.846,Port Imperial,0.792,Port Imperial,0.792
525 JACKSON ST,Hoboken,0.963,Port Imperial,0.925,Port Imperial,0.925
527 JEFFERSON ST,Hoboken,0.852,Port Imperial,0.785,Port Imperial,0.785
528 MADISON ST,Hoboken,0.885,Port Imperial,0.859,Port Imperial,0.859
528 MONROE ST,Hoboken,0.929,Port Imperial,0.894,Port Imperial,0.894
530 MADISON ST,Hoboken,0.911,Port Imperial,0.821,Port Imperial,0.821
531 BLOOMFIELD ST,Hoboken,0.581,Port Imperial,0.61,Hoboken,0.581
531 MADISON ST,Hoboken,0.898,Port Imperial,0.817,Port Imperial,0.817
531 PARK AVE,Hoboken,0.65,Port Imperial,0.647,Port Imperial,0.647
532 ADAMS ST,Hoboken,0.823,Port Imperial,0.756,Port Imperial,0.756
532 HUDSON ST,Hoboken,0.536,Port Imperial,0.583,Hoboken,0.536
532 MONROE ST,Hoboken,0.954,Port Imperial,0.857,Port Imperial,0.857
532 WASHINGTON ST,Hoboken,0.571,Port Imperial,0.598,Hoboken,0.571
533 ADAMS ST,Hoboken,0.815,Port Imperial,0.746,Port Imperial,0.746
533 MADISON ST,Hoboken,0.9,Port Imperial,0.813,Port Imperial,0.813
533 MONROE ST,Hoboken,0.92,Port Imperial,0.884,Port Imperial,0.884
535 BLOOMFIELD ST,Hoboken,0.587,Port Imperial,0.602,Hoboken,0.587
536 BLOOMFIELD ST,Hoboken,0.564,Port Imperial,0.644,Hoboken,0.564
536 GRAND ST,Hoboken,0.784,Port Imperial,0.721,Port Imperial,0.721
547 BLOOMFIELD ST,Hoboken,0.561,Port Imperial,0.634,Hoboken,0.561
550 1ST ST,Hoboken,0.791,Pavonia/Newport,0.835,Hoboken,0.791
550 2ND ST,Hoboken,0.801,Pavonia/Newport,0.91,Hoboken,0.801
550 OBSERVER HIGHWAY,Newport,0.779,Pavonia/Newport,0.739,Pavonia/Newport,0.739
551 OBSERVER HIGHWAY,Newport,0.763,Pavonia/Newport,0.724,Pavonia/Newport,0.724
554 OBSERVER HIGHWAY,Newport,0.781,Pavonia/Newport,0.741,Pavonia/Newport,0.741
556 1ST ST,Hoboken,0.806,Pavonia/Newport,0.844,Hoboken,0.806
56 JEFFERSON ST,Hoboken,0.744,Pavonia/Newport,0.707,Pavonia/Newport,0.707
561 1ST ST,Hoboken,0.814,Pavonia/Newport,0.836,Hoboken,0.814
562 1ST ST,Hoboken,0.821,Pavonia/Newport,0.852,Hoboken,0.821
565 1ST ST,Hoboken,0.824,Pavonia/Newport,0.842,Hoboken,0.824
59 MADISON ST,Hoboken,0.776,Pavonia/Newport,0.776,Hoboken,0.776
60 MADISON ST,Hoboken,0.787,Pavonia/Newport,0.784,Pavonia/Newport,0.784
60 MONROE ST,Hoboken,0.838,Pavonia/Newport,0.814,Pavonia/Newport,0.814
600 1ST ST,Hoboken,0.84,Pavonia/Newport,0.864,Hoboken,0.84
600 CLINTON ST,Hoboken,0.754,Port Imperial,0.679,Port Imperial,0.679
600 HUDSON ST,Hoboken,0.562,Port Imperial,0.556,Port Imperial,0.556
600 NEWARK ST,Newport,0.766,Pavonia/Newport,0.728,Pavonia/Newport,0.728
601 1ST ST,Hoboken,0.839,Pavonia/Newport,0.851,Hoboken,0.839
601 MADISON ST,Hoboken,0.908,Port Imperial,0.802,Port Imperial,0.802
601 MONROE ST,Hoboken,0.949,Port Imperial,0.837,Port Imperial,0.837
601 OBSERVER HIGHWAY,Newport,0.791,Pavonia/Newport,0.752,Pavonia/Newport,0.752
602 MADISON ST,Hoboken,0.92,Port Imperial,0.809,Port Imperial,0.809
602 WILLOW AVE,Hoboken,0.718,Port Imperial,0.646,Port Imperial,0.646
603 1ST ST,Hoboken,0.843,Pavonia/Newport,0.854,Hoboken,0.843
603 MONROE ST,Hoboken,0.952,Port Imperial,0.837,Port Imperial,0.837
603-07 MONROE ST,Newport,0.773,Pavonia/Newport,0.734,Pavonia/Newport,0.734
604 GRAND ST,Hoboken,0.795,Port Imperial,0.706,Port Imperial,0.706
604 MONROE ST,Hoboken,0.963,Port Imperial,0.845,Port Imperial,0.845
605 1ST ST,Hoboken,0.844,Pavonia/Newport,0.855,Hoboken,0.844
606 1ST ST,Hoboken,0.846,Pavonia/Newport,0.865,Hoboken,0.846
606 ADAMS ST,Hoboken,0.841,Port Imperial,0.732,Port Imperial,0.732
607 1ST ST,Hoboken,0.845,Pavonia/Newport,0.856,Hoboken,0.845
607 CLINTON ST,Hoboken,0.745,Port Imperial,0.671,Port Imperial,0.671
607 HUDSON ST,Hoboken,0.55,Port Imperial,0.553,Hoboken,0.55
607 JEFFERSON ST,Hoboken,0.874,Port Imperial,0.755,Port Imperial,0.755
608 MADISON ST,Hoboken,0.922,Port Imperial,0.806,Port Imperial,0.806
608 MONROE ST,Hoboken,0.964,Port Imperial,0.843,Port Imperial,0.843
609 HUDSON ST,Hoboken,0.552,Port Imperial,0.551,Port Imperial,0.551
609 JEFFERSON ST,Hoboken,0.877,Port Imperial,0.751,Port Imperial,0.751
609 MADISON ST,Hoboken,0.917,Port Imperial,0.79,Port Imperial,0.79
609 OBSERVER HIGHWAY,Newport,0.806,Pavonia/Newport,0.768,Pavonia/Newport,0.768
61 14TH ST,Hoboken,1.193,Port Imperial,0.17,Port Imperial,0.17
61 5TH ST,Hoboken,0.487,Port Imperial,0.667,Hoboken,0.487
610 CLINTON ST,Hoboken,0.766,Port Imperial,0.662,Port Imperial,0.662
610 JEFFERSON ST,Hoboken,0.889,Port Imperial,0.759,Port Imperial,0.759
610 MADISON ST,Hoboken,0.923,Port Imperial,0.805,Port Imperial,0.805
610 MONROE ST,Hoboken,0.965,Port Imperial,0.842,Port Imperial,0.842
610 NEWARK ST,Newport,0.787,Pavonia/Newport,0.749,Pavonia/Newport,0.749
610 WASHINGTON ST,Hoboken,0.607,Port Imperial,0.556,Port Imperial,0.556
611 GRAND ST,Hoboken,0.788,Port Imperial,0.696,Port Imperial,0.696
611 HUDSON ST,Hoboken,0.553,Port Imperial,0.55,Port Imperial,0.55
611 WILLOW AVE,Hoboken,0.718,Port Imperial,0.623,Port Imperial,0.623
612 ADAMS ST,Hoboken,0.85,Port Imperial,0.721,Port Imperial,0.721
612 CLINTON ST,Hoboken,0.777,Port Imperial,0.649,Port Imperial,0.649
613 HUDSON ST,Hoboken,0.554,Port Imperial,0.548,Port Imperial,0.548
613 MONROE ST,Hoboken,0.956,Port Imperial,0.832,Port Imperial,0.832
614 MONROE ST,Hoboken,0.966,Port Imperial,0.84,Port Imperial,0.84
615 ADAMS ST,Hoboken,0.859,Port Imperial,0.688,Port Imperial,0.688
615 HUDSON ST,Hoboken,0.555,Port Imperial,0.547,Port Imperial,0.547
616 ADAMS ST,Hoboken,0.856,Port Imperial,0.714,Port Imperial,0.714
616 JEFFERSON ST,Hoboken,0.896,Port Imperial,0.75,Port Imperial,0.75
616 MONROE ST,Hoboken,0.967,Port Imperial,0.839,Port Imperial,0.839
618 JEFFERSON ST,Hoboken,0.899,Port Imperial,0.746,Port Imperial,0.746
618 MADISON ST,Hoboken,0.926,Port Imperial,0.801,Port Imperial,0.801
619 MADISON ST,Hoboken,0.929,Port Imperial,0.776,Port Imperial,0.776
619 WILLOW AVE,Hoboken,0.731,Port Imperial,0.606,Port Imperial,0.606
62 JEFFERSON ST,Hoboken,0.737,Pavonia/Newport,0.759,Hoboken,0.737
62 MADISON ST,Hoboken,0.787,Pavonia/Newport,0.786,Pavonia/Newport,0.786
62 PATERSON AVE,Newport,0.873,Pavonia/Newport,0.835,Pavonia/Newport,0.835
620 JEFFERSON ST,Hoboken,0.901,Port Imperial,0.743,Port Imperial,0.743
620 MONROE ST,Hoboken,0.968,Port Imperial,0.837,Port Imperial,0.837
621 MONROE ST,Hoboken,0.959,Port Imperial,0.829,Port Imperial,0.829
622 PARK AVE,Hoboken,0.734,Port Imperial,0.56,Port Imperial,0.56
623 MONROE ST,Hoboken,1.041,Port Imperial,0.776,Port Imperial,0.776
624 MONROE ST,Hoboken,1.0,Port Imperial,0.802,Port Imperial,0.802
