mls_id,address,unit_number,full_address,zip,area,block,block_raw,lot,complex_name,property_type,class,status,year_built,floor_number,bedrooms,full_baths,half_baths,total_baths,sqft,sold_price,list_price,orig_list_price,price_per_sqft,sale_to_list,orig_to_sold_pct,taxes,hoa_monthly,dom,closing_date,listing_date,closing_year,closing_quarter,is_distressed,is_short_sale,is_bank_owned,lat,lon,between,remarks,parking,parking_conf,outdoor,outdoor_type,outdoor_conf,walk_score,transit_score,bike_score,path_station,path_dist_mi,hblr_station,hblr_dist_mi,transit_station,transit_dist_mi,modiiv_assessed,assessed_value,assess_ratio
220004875,150 HENLEY PL,201,150 HENLEY PL 201,07086,Weehawken,block_4501,4501,01,,Condominium,CONDO-COOP,SOLD,,2,3,2,1,2.5,1638,1540000.0,1549000.0,,940.17,0.9942,,23777.0,,29,2022-06-07,2022-03-22,2022,2022-Q2,False,False,False,40.766957,-74.0174484,PORT IMPERIAL TO HENLEY,"Nature and New York City neighbor this wonderful residence, just look out the large windows. Corner condos are highly desirable and waterfront condos with three personal outdoor spaces are rare. This home has both. The entry foyer subtly separates the ‘Welcomes’ and ‘Goodbyes’ from the socializing; the hallway serves the same purpose to create silent sleeping spaces. Two of the three bedrooms are en suite and have personal balconies. The kitchen is classy. Your personal touch of color will pop atop the neutral tones. And two garaged parking spaces are for you.  Unit 201 is a proud member of Henley On Hudson, a well-manicured community of luxury homes whose amenities include a concierge, swimming pool, three fitness centers, children's playroom and cinema. Residents relish direct access to the New York Waterway and unparalleled views of The Greatest City in the World.",True,medium,True,balcony,high,,,,Hoboken,2.187,Port Imperial,1.161,Port Imperial,1.161,,,
210023590,800 AVENUE AT PORT IMPERIAL,511,800 AVENUE AT PORT IMPERIAL 511,07086,Weehawken,block_64 01_AVENUE,00064 01,00001 07,Avora,Condominium,CONDO-COOP,SOLD,,5,2,2,0,2.0,1506,1545000.0,1574000.0,,1025.9,0.9816,,22155.0,1092.0,26,2022-01-13,2021-10-13,2022,2022-Q1,False,False,False,40.7767352,-74.0112977,River Road to Avora,MLS Record.,False,low,False,,low,,,,Hoboken,2.915,Port Imperial,1.905,Port Imperial,1.905,,,
260001107,800 AVENUE AT PORT IMPERIAL,920,800 AVENUE AT PORT IMPERIAL 920,07086,Weehawken,block_64.01_AVENUE,64.01,1.07,,Condominium,CONDO-COOP,ACTIVE,,9,3,3,0,3.0,1588,,1549000.0,,,,,21240.0,1300.0,80,,2026-01-21,,,False,False,False,40.7767352,-74.0112977,Port Imperial & Cooper,"Luxury Living at AVORA – Welcome to Unit 920, an expansive 3 bedroom, 3 bathroom residence boasting over 1,588 sq ft of open-concept living space, a private terrace, and stunning NYC skyline and river views. Designed for both comfort and entertaining, this beautifully appointed condo features truly luxurious finishes throughout. The gourmet kitchen is equipped with sleek European-style cabinetry, striking quartz waterfall countertop, & top-of-the-line appliances. Spa-inspired porcelain bathrooms. W/D in unit. AVORA offers an unmatched lifestyle with resort-style amenities, including a 24-hour concierge, state-of-the-art gym, media room, sports simulator, resident lounges, & an expansive 3rd-floor pool deck w. BBQ & breathtaking Manhattan views. Ideally located just steps from the NY Waterway Ferry, Hudson-Bergen Light Rail, & NJ Transit bus service, AVORA puts the best of both NJ & NYC at your doorstep. Pet friendly building with beautiful walking path along the Hudson.",False,low,True,terrace,high,,,,Hoboken,2.915,Port Imperial,1.905,Port Imperial,1.905,,,
230003593,1200 AVENUE AT PORT IMPERIAL,713,1200 AVENUE AT PORT IMPERIAL 713,07086,Weehawken,block_64.01_AVENUE,64.01,1.10,Avenue Collections,Condominium,CONDO-COOP,SOLD,,7,3,3,0,3.0,1830,1560000.0,1595000.0,,852.46,0.9781,,29713.0,1911.0,45,2023-05-31,2023-03-06,2023,2023-Q2,False,False,False,40.7728849,-74.0126191,River Rd to Ave at Port Imperial,"Welcome to The Avenue Collection, one of the most highly sought-after residential buildings and communities along the prestigious New Jersey Gold Coast. This spectacular PENTHOUSE home features 3 Bedrooms / 3 Full Bathrooms and spans an incredible 1,830 SqFt, while showcasing ultimate views of NYC and the Hudson River with South, East, and West exposures from the amazing 700 SqFt balcony. Luxuriate in the Smart home automation with Lutron Caséta Bridge Lighting, wireless motorized Sivoia QS roller shades, and Caséta Dimmers throughout. Be wowed by the open layout floorplan as you enter, where you will discover a main living area encompassing entire walls of floor-to-ceiling windows with a chef-inspired kitchen leaving no detail spared, with Caesarstone/Italian porcelain countertops, soft close cabinetry, mosaic tile backsplash, GE Monogram appliances, a wine refrigerator, and a grand center island with waterfall edges. Your lush space flows to the open living and dining room with entry to the wrap-around balcony spanning your entire living room area, capitalizing on those breathtaking views and creating the setting to sip on your morning coffee with the colors of the sunrise and see the shading of the cityscape change as the day draws to a close. Make your way to the master and primary ensuite at the end of the hallway, showcasing custom built-ins and your own spa-like bath retreat featuring gorgeous dual vanities with Caesarstone countertops, a soaking tub with a waterfall spout, and a separate glass-enclosed shower. Enjoy the second bedroom ensuite with its own luxurious full bathroom. The generously sized third bedroom has a full bathroom directly outside for guests to use. Incorporating the opulence throughout, you will find those glorious floor-to-ceiling windows in every room, letting in the maximum amount of light to your abode. To complete this fine home, take supreme delight with the in-unit washer/dryer and the extravagance of two-car garage parking. Of course, a community this notable provides only the highest plethora of amenities including a 24-hour concierge, library lounge, state-of-the-art fitness center including a steam shower and sauna, a children's playroom, cinema room, skyline social lounge, cold storage, outdoor pool, firepit, and bicycle storage, while simultaneously providing a short distance from the Ferry/Bus/Light Rail for all your transportation and commuting needs. Where life meets style and everything you could imagine, this is luxe living at its absolute and true excellence!",True,high,True,balcony,high,,,,Hoboken,2.64,Port Imperial,1.632,Port Imperial,1.632,,,
250019110,800 AVENUE AT PORT IMPERIAL,1004,800 AVENUE AT PORT IMPERIAL 1004,07086,Weehawken,zip_07086,,,,Condominium,CONDO-COOP,SOLD,,10,2,3,0,3.0,1644,1575000.0,1650000.0,,958.03,0.9545,,37013.0,1395.0,1,2025-10-01,2025-09-16,2025,2025-Q4,False,False,False,40.7767352,-74.0112977,Port Imperial Ferry Terminal and Avenue Collection,"AVORA at Port Imperial Residence 1004 boasts 1644-SF with two bedrooms and a full length glass walled terrace with beautiful northeast views of the Hudson River and Manhattan. With two-parking spaces, a storage unit and high ceilings, this is one of the waterfront's best investment opportunities. Exquisite finish details include wood floors, stone counters, porcelain tile and quality appliances. Tenant occupied until September 30th, 2026.",True,medium,True,terrace,high,,,,Hoboken,2.915,Port Imperial,1.905,Port Imperial,1.905,,,
230009257,800 AVENUE AT PORT IMPERIAL,807,800 AVENUE AT PORT IMPERIAL 807,07086,Weehawken,block_ 64 01,00 64 01,00001 07,Avora,Condominium,CONDO-COOP,SOLD,,8,4,4,0,4.0,2429,1580000.0,1600000.0,,650.47,0.9875,,37140.0,1875.0,36,2023-09-28,2023-06-05,2023,2023-Q3,False,False,False,40.7767352,-74.0112977,Avora at Port Imperial,"Welcome home to Residence 807, the most unique condo in the highly sought after and prestigious 800 Avenue at Port Imperial, also known as the Avora, Weehawken's waterfront luxurious community. this massive 2 story 2400 SQFT duplex boasts 4 bedrooms/ 4 bathrooms, with TWO large decks with NYC and Hudson River views. Upon entering the home, you will be greeted by floor to ceiling windows that allow the South East sunlight to penetrate and convert this home into a true sunbathed oasis. Since everyroom is facing South, you will have spectacular views from each and every room in the home. On the main level you will find a complete open main living space with a spectacular kitchen complete with stainless steel gas range and dishwasher, paneled refrigerator, quartz countertops with a waterfall island. Walk over to the living area where you will be amazed by the different ceiling heights and wall of windows and a steel and concrete beam which perfectly defines and separates the dining area from the rest of the main living area. A massive master suite has a spa like en-suite, walk-in closet and of course massive windows which provide more views and more natural sunlight. Now what makes this home truly unique? Go down the spiral staircase where you will find 3 more bedrooms (all with ample closet space and THAT view), 2 bathrooms AND a second kitchen for easy access to snacks and cooking without having to having to go up to the main level. You can also accommodate a study, office, or children's play area or schooling area right on this level. What else comes with? Gleaming hardwood floors throughout, two sets of in-unit washer/dryer, central A/C and heat, plus TWO parking spots. Lastly, if the home has not lured you in, let the community do so. Avora is a full luxury amenities building with 24 hour concierge, top of the line Fitness Center, Cinema Room, Golf Simulator, Business Room for those work at home days, Lounge with Bar and Catering Kitchen, outdoor deck equipped with a pool, sundeck, grilling areas, fire pit, and a dog washing stations. An easy NYC commute, located steps away from NY Waterway Ferry, Light Rail, and the NJ Transit Bus to Port Authority with restaurants and shops right outside your door. You will not want to miss out on this!",True,medium,True,deck,high,,,,Hoboken,2.915,Port Imperial,1.905,Port Imperial,1.905,,,
260006357,800 AVENUE AT PORT IMPERIAL,511,800 AVENUE AT PORT IMPERIAL 511,07086,Weehawken,block_64 01_AVENUE,00064 01,00001 07,Avora,Condominium,CONDO-COOP,ACTIVE,,5,2,2,0,2.0,1506,,1599000.0,,,,,24928.0,1340.0,2,,2026-04-09,,,False,False,False,40.7767352,-74.0112977,River Road to Avora,"An elevated living experience awaits, welcome to Residence #511 at The Avora.  Located within an Architectural Masterpiece and celebrated waterfront building, residence #511 is the crown jewel of homes with private outdoor space staring directly across to unimaginable views of Manhattan.  Incredibly unique before you even enter the home off the elevator, enjoy your own private vestibule only for this unit!  That is right, you do not share hallway space with any other home, and rather you have a private entrance before even entering the amazing foyer inside the home.  Sticking with unique and not otherwise seen, the terrace spans over 1,000 square feet as noted!  Perfect for dining parties as the sunset reflects delicately against the Manhattan skyline, or to enjoy the serene sunrise with a coffee in hand. The terrace is located right off of the main living space, which is open concept laying out from the chef’s kitchen which highlights an oversized island with built in seating, straight through to the dining room and living room.  There is currently a built-out office space perfect for the work from home environment, or useful in creating additional space as needed.  The primary bedroom is laid out to perfection, with a walk-in closet only outdone by the double-doored walk-in ensuite with dual vanity, walk-in shower, and floating soaking tub with water pouring from the ceiling.  The second bedroom is exceedingly versatile, perfect a multitude of uses such as nursey, kids room, or guest bedroom.  The finishes throughout the home include quartz countertops, high-end appliance package, and porcelain tile.  No detail has been overlooked, no detail too small.  Located in an ultra-luxury waterfront building that separates itself from the rest, enjoy 30,000sqft of deliberately laid out amenity spaces meant to enrich your lifestyle to the fullest.  The inclusion of a 24-hour concierge, state of the art fitness center, business center, sport simulation room, grand salon, private screening/media room, business center, resident lounges, interior lounge with private dining and bar provides just a taste of what to expect.  Meanwhile the outdoor sun deck and barbeque patio of grills and fireplaces surround the in-ground pool with views of Manhattan from every angle ultimately making your new home feel more like a resort than a condominium building only minutes from Manhattan.  The true amenity which no other building can provide would be the ease of a commute, with the Avora being only a minute walk from the front door to the Weehawken Ferry station. Parking space #220 included, as well as storage cage #66.",True,high,True,terrace,high,,,,Hoboken,2.915,Port Imperial,1.905,Port Imperial,1.905,,,
250014892,1000 AVENUE AT PORT IMPERIAL,#514,1000 AVENUE AT PORT IMPERIAL #514,07086,Weehawken,block_6401_AVENUE,0006401,0000111,The Avenue Collection,Condominium,CONDO-COOP,SOLD,,5,3,3,0,3.0,1833,1600000.0,1548888.0,,872.89,1.033,,28057.0,1707.0,15,2025-09-03,2025-07-22,2025,2025-Q3,False,False,False,40.774254,-74.011431,Avenue at Port Imperial & City View Drive,"Residence 514 offers 3 bedrooms, 3 bathrooms, 2 car garage parking spaces & boasts breathtaking views of New York City & the serene water right from your very own private balcony. Experience the pinnacle of waterfront luxury at The Avenue Collection. Perfectly positioned on the corner of the Port Imperial, the most sought-after waterfront community on the NJ Gold Coast!  Live luxuriously with hotel-like amenities including a 24- hour doorman; concierge services & guest suites, state-of-the-art fitness center with sauna, steam shower, cardio and strength equipment, yoga room; outdoor plaza with convenience kitchen, open lawn, lounge areas, fire pit and sun deck; pool, social room with catering kitchen, fireplace, bar area; grand lobby with wall-length fireplace; enclosed parking garage; security system; & conference room. Commute via New York Waterway ferry, ensuring a quick and seamless trip to Manhattan bringing you to, W. 39th St. Manhattan, in 8 minutes! Routes to Pier 11 at Wall St. & Brookfield Place Terminal also available. Don't miss this rare opportunity to own in this exclusive waterfront community today!",True,high,True,balcony,high,,,,Hoboken,2.748,Port Imperial,1.743,Port Imperial,1.743,,,
240009185,1200 AVENUE AT PORT IMPERIAL,PH701,1200 AVENUE AT PORT IMPERIAL PH701,07086,Weehawken,block_64_AVENUE,64,01,Avenue Collection 1200,Condominium,CONDO-COOP,SOLD,,7,3,3,0,3.0,1784,1600000.0,1628000.0,,896.86,0.9828,,26316.0,1808.0,13,2024-07-03,2024-05-15,2024,2024-Q3,False,False,False,40.7728849,-74.0126191,Avenue Collection 1200,"THE AVENUE COLLECTION - Building 1200 - Penthouse 701. Soaring ceilings over 10-feet tall and walls of floor-to-ceiling windows grace this home with amazing light. With 1784-SF, the corner split-bedroom floorplan features two glass walled balconies with stunning views of midtown Manhattan. An open concept living area is anchored by an exquisite center island kitchen with a double waterfall counter. Monogram appliances, fixtures by Kohler, exquisite porcelain tile details and layers of lighting grace the kitchen and bathrooms. Stunning wood floors and deeded parking complete this rare offering in Port Imperial's finest building just 2 blocks from the ferry terminal. Come experience the boutique lifestyle of the Avenue Collection that includes 24-hour concierge service, health club, movie theatre, kid's playroom, penthouse level Skyline Lounge and the ultimate 3rd level resort style pool deck. Welcome Home.",True,high,True,balcony,high,,,,Hoboken,2.64,Port Imperial,1.632,Port Imperial,1.632,,,
220008301,1200 AVENUE AT PORT IMPERIAL,610,1200 AVENUE AT PORT IMPERIAL 610,07086,Weehawken,complex_AVENUECOLLECTION,,,Avenue Collection,Condominium,CONDO-COOP,SOLD,,6,3,3,0,3.0,1729,1600000.0,1688000.0,,925.39,0.9479,,31025.0,1652.0,107,2022-10-14,2022-05-10,2022,2022-Q4,False,False,False,40.7728849,-74.0126191,"1200 Avenue Collection, Residence #610","AVENUE COLLECTION 1200 - RESIDENCE 610 - SOUTH FACING, Bright, 3 Bedroom, 3 Bathroom home finished with an expansive terrace and custom closets throughout, this home has a bright open living space in this sought after floor plan, opportunities are endless. With two parking spaces and a storage unit, this home is ready for anyone who might be looking along the waterfront and comes with all of the rare ancillaries. With higher ceilings, this residence is truly a show-piece. Just in time to enjoy our 1200 Avenue Collection amenities this summer, welcome home... The boutique Building 1200 amenities include 24-hour concierge, health club, movie theatre, penthouse level sky lounge, and the incredible 3rd level resort-style plaza with pool and fire pit lounge all with spectacular views. All this in the ultimate location just steps away from the Port Imperial Ferry, Light Rail & Bus.",True,medium,True,terrace,high,,,,Hoboken,2.64,Port Imperial,1.632,Port Imperial,1.632,,,
