"Picture Count","MLS #","Class","Type","Area","Price","Address","City","State","Zip","Status","Expiration Date","Tour/Open House - Start Date","Tour/Open House - Start Time","Tour/Open House - End Time","Tour/Open House - Event Type"
"35","260001075","CONDO-COOP","Condominium","Hoboken","$801,000","921 MADISON ST","Hoboken","NJ","07030","ACTIVE","7/21/2026","4/12/2026","12:00 PM EDT","2:00 PM EDT","Open House"
"35","260001075","CONDO-COOP","Condominium","Hoboken","$801,000","921 MADISON ST","Hoboken","NJ","07030","ACTIVE","7/21/2026","4/11/2026","12:00 PM EDT","2:00 PM EDT","Open House"
"28","260006287","CONDO-COOP","Condominium","JC, Heights","$825,000","272 TERRACE AVE","JC, Heights","NJ","07307","ACTIVE","6/30/2026","4/12/2026","2:00 PM EDT","4:00 PM EDT","Open House"
"23","260006200","CONDO-COOP","Condominium","Hoboken","$825,000","1226 PARK AVE","Hoboken","NJ","07030","ACTIVE","7/6/2026","4/11/2026","12:00 PM EDT","2:00 PM EDT","Open House"
"32","260005839","CONDO-COOP","Condominium","Hoboken","$825,000","800 JACKSON ST","Hoboken","NJ","07030","ACTIVE","8/31/2026","4/11/2026","12:00 PM EDT","2:00 PM EDT","Open House"
"32","260005839","CONDO-COOP","Condominium","Hoboken","$825,000","800 JACKSON ST","Hoboken","NJ","07030","ACTIVE","8/31/2026","4/12/2026","12:00 PM EDT","2:00 PM EDT","Open House"
"23","260006200","CONDO-COOP","Condominium","Hoboken","$825,000","1226 PARK AVE","Hoboken","NJ","07030","ACTIVE","7/6/2026","4/12/2026","12:00 PM EDT","2:00 PM EDT","Open House"
"31","260005533","CONDO-COOP","Condominium","JC, Heights","$830,000","69 HANCOCK AVE","JC, Heights","NJ","07307","ACTIVE","9/30/2026","4/11/2026","1:00 PM EDT","3:00 PM EDT","Open House"
"20","260001157","CONDO-COOP","Condominium","JC, Heights","$849,000","156 LEONARD ST","JC, Heights","NJ","07307","ACTIVE","7/21/2026","4/11/2026","1:00 PM EDT","3:00 PM EDT","Open House"
"26","250021808","CONDO-COOP","Condominium","Hoboken","$849,000","921 MADISON ST","Hoboken","NJ","07030","ACTIVE","10/21/2026","4/11/2026","12:00 PM EDT","2:00 PM EDT","Open House"
"25","260003125","CONDO-COOP","Condominium","JC, Heights","$849,000","134 NEW YORK AVE","JC, Heights","NJ","07307","ACTIVE","5/31/2026","4/12/2026","12:00 PM EDT","2:00 PM EDT","Open House"
